text,airline_sentiment
"@AmericanAir Nope. Couldn't make changes online and after 90 mins on hold and time dealing w/ the rude rep, the 24 hour window has closed.",negative
@SouthwestAir When will the flight resume? I don's see it in the open schedule. :/,negative
@AmericanAir You guys are totally losing me. I've been an AA fan for years but telling me reps are busy and hanging up on me is really bad.,negative
"@JetBlue btw, Robin Hayes is speaking at next month's @USChamber aviation summit. He ought to give a shout out to his Twitter team. You rock",positive
@AmericanAir I need to rebook and I cannot get an agent. Can you help?,negative
@united it is cool. Your customer told me they didn't care either. It is expected,negative
@united not happening.  Delta took care of us.  Peace!,negative
@united @RobBogart After I waited hours in the airport being told one fib after the other. Why can't UAL be honest with its customers?,negative
@JetBlue ticket issued whilst delivering your customers.,negative
@united three delayed flights and missed connections on first class flights and not get any compensation for losing those seats...,negative
@USAirways I'm sorry as well. It's been 24 hrs without my bag and I can't get a straight answers. I'm on call #6 for today.,negative
"@united, there is no good word for describing how angry and pissed off of a customer you have made me.",negative
@USAirways forgetting to fuel up? Realizing there was more cargo to add to plane? One way to try and mask a delay.,negative
@SouthwestAir I do need help Cancelled Flighting my flight back. Your calls times are ridiculous.,negative
"@SouthwestAir I was in Nashville and I had to drive 3 and a half hours to Memphis, but I made it as the plane was loading!",negative
@AmericanAir - don't understand why I have zero Flt info- no email- 2 he wait time on ph lines- so much for Advan Mem :(,negative
"@AmericanAir ok, thanks you! Have a great night AA team!",positive
"@USAirways worst service at Reagan Int. I rarely post about a company or service, but I am so annoyed. Not weather reLate Flightd…incompetence.",negative
"@SouthwestAir After flying Delta this week, GoGo was so good. The tweet I sent you didn't even send until we landed - that's how bad it was",negative
. @USAirways It's been Cancelled Flighted. Your SM response is slow.,negative
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",negative
@USAirways why didn't you reroute BOS to JAX via DCA through CLT instead forcing an overnight @DCA #passengersLose,negative
@united really 1st flt frm IAD 2 IAH is - Late Flight &amp; -going via Nashville? #inconvenience. Downgraded but not on ticket,negative
@USAirways Has the most useless &amp; Rude employees ever at Philadelphia airport never again will I fly with them ! 😤,negative
@AmericanAir Not even on the bag status...will take actions against this company is incredible how irresponsible are with the costumer,negative
@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!,negative
@JetBlue now we are waiting over an half hr for the packages. What's wrong with you guys?? http://t.co/wVGpp3Ymz1,negative
@VirginAmerica Giants and Virgin America. A match made in heaven.,positive
@AmericanAir served the nastiest food Ive ever seen yesterday.Rubber chicken in slime. The ENTIRE cabin sent their food back.FAs can confirm,negative
@SouthwestAir Been on hold for over an hour - any chance someone can help me on here?,negative
@SouthwestAir it was not - still don't know where skis are and cannot get a call back from bag svc at airport (left several msgs),negative
@AmericanAir my flight 386 to Dallas from Jacksonville fl has been Cancelled Flightled. No one has notified me. What's going on?,negative
@USAirways 25 mins after the scheduled departure and still sitting in terminal. Communication would be lovely... http://t.co/pkAxUNYfn2,negative
“@SouthwestAir: @kirkwoodtiger Hmmm... how does the Caribbean sound? https://t.co/AAY5avg99b ^LD” WARM THANKS!,positive
"@JetBlue waiting at HPN on plane more than an hour since landing b/c of no gate, please get us off this plane!",negative
@AmericanAir I'm trying to make a reservation with a &lt; 2 year old lap child. Don't see any option online. How do I proceed with reservation?,negative
"@AmericanAir on flight 1074 that has been delayed for hours over human errors like a food truck hitting the plane, now the lines are frozen.",negative
"@AmericanAir Thanks for asking On second plane after maintenance issue, for flight from ORD to LIT. Sitting at gate in very very warm plane",positive
"@JetBlue unfortunately I was so startled and rushed, I didn't get the name, but will provide a description in my expanded email.  Thank you",negative
@AmericanAir How are you going to compensate all of whose days/plans have been ruined because of the AA3490 delay/pending Cancelled Flightlation?,negative
"@USAirways Yes, it's February. Bad weather happens every winter. If you guys don't have the business sense to forecast that I'm at a loss.",negative
@united We waited 40 min for our bags after a 45 min flight #nomorecheckedbags,negative
@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother,positive
@united counter agents at RDU deserve a medal. #thankyou,positive
@united disappointed to learn you are now charging $200 to use 20k miles for upgrades on PS JFK flights. Will be looking at alternatives.,negative
@VirginAmerica Like http://t.co/VPqEm31XUQ,positive
@SouthwestAir why does the customer service have rather inconsistent information,negative
@SouthwestAir has some of the best airfare prices! Gotta LUV them :),positive
@USAirways @AmericanAir so does that mean @AmericanAir that you might care about my sister be assaulted on one of your flights,negative
@AmericanAir Why did I have to stand at baggage claim for an hour waiting for a bag that you knew never made it on to the plane?,negative
@AmericanAir another generic response guys? Cmon. You're terrible. How about an actual helpful person? Not all the rude employees at LAX,negative
@AmericanAir You Cancelled Flight my flight and there’s no way to rebook on the website or app? I have to wait 35 minutes on hold? #fail cc @Delta,negative
"@USAirways ur specialist said they would talk to the stewardess about not serving drunks drinks, REALLY how does that help",negative
@united we have tried to change our flight THREE times on the phone and got disconnected each time.,negative
"@SouthwestAir you only hear about the bad things. Flying the last to weekends, the flights and crews were awesome. Thank you. 👍👍",positive
@USAirways 4 great flights with no delays! Thank you!,positive
"@USAirways comin in clutch and sending me to Charlotte then home, I h8 u @AmericanAir, except for Wayne u a real g #ThankJesus #ThankMe",negative
"@united If someone misses his connecting flight because of the airline, and it was the last flight of the day, how will you fix it?",negative
@united flight UA5631 from SFO to Burbank has been delayed twice now. Still no plane in sight. Get it together.,negative
@united Not fast enough.  No excuse for service between big hubs to have such outdated craft. Southwest has wifi. This is awful.,negative
@JetBlue supervisor humiliated us and was uncompromising. We were completely blindsided!,negative
@JetBlue That's why I love JetBlue! #truebluemember4life,positive
@SouthwestAir and this asshole cut in front of me. Your system blows. http://t.co/7ujt8VTCpa,negative
"@AmericanAir Trying desperately to rebook my moms flight. Waited 10 hours for callback, got disconnected and they didn’t call back. #help",negative
@AmericanAir I've witnessed a manager named Denise yell at 2 different customers with my same issue. #rude,negative
@United I'm hoping we don't miss our LAX - ITO connection. Not looking forward to being stuck at LAX overnight with our team....AGAIN!,negative
@USAirways Feeling helpless at Tanpa airport. How can I talk to someone. Flight delayed 4 times. Need help. Missed connections will be prob,negative
@USAirways Thanks! Sent you DM re: baggage issues.,positive
@americanair anxious to see how you all care for customers you’ve inconvenienced #Cancelled Flightledflight,negative
@JetBlue why is my 910 flight listed on time when its 904AM and I'm not on the plane yet? http://t.co/iEG2ObcEpp,negative
"@AmericanAir no I've since rebooked with another airline, what I would like is compensation for all the time/money lost!",negative
"@USAirways I already HAVE, four times",negative
@SouthwestAir kudos to the #RSW CS crew for re-routing PAX to alleviate Over sale due to down graded EQP 800 now 500,negative
@united it is too Late Flight for reFlight Booking Problems now - it is morning already and I no longer need a hotel room,negative
@AmericanAir great job and great service in and out of SDF this weekend during the winter storm.,positive
@united Miserable trip ... lost bag Sat... found Mon... lost again... shipping 2nd day ground Tues... might have it for return flight home,negative
@united Why do I have to give up my leg room so these 4 people (not in my row) can fill the bin?  Pls start charging. http://t.co/2nY5TuXFqf,negative
@JetBlue Awesome thanks! Thanks for the quick response. You guys ROCK! :),positive
"@SouthwestAir   Happily, flight 1625 was not delayed when a cockpit visit blew my four-yr-old's mind. Thanks, Cap'n! http://t.co/C8mqEzXVdH",positive
@JetBlue Thank you for the reply. Would've appreciated communication before checking in about the delay. JetBlue used to be my go-to,negative
@JetBlue okay awesome! Thank you!,positive
@AmericanAir requested a call back at 1am. My Cancelled Flighted flight through DFW shouldn't take this long to reroute. You're Customer Service lacks,negative
@united Flight 395. Rolling delay of 1 hour 42 minutes,negative
@USAirways after pleading with car service to stay 3 hrs. past pick up they left me and my family but it's ok i have water and crackers!,negative
@united Why was I forced to check my rollaboard on UA 715? Plenty of room in the overhead next to my seat. http://t.co/5xvNnmLTiW,negative
@USAirways thanks for helping with #reFlight Booking Problems #Cancelled Flightedflight Yvonne Anthony.  You will help us get to Tel Aviv on time.  #HappyFriday,positive
"@AmericanAir Just got a call from baggage dept. ""...still looking for your property"". It's went missing 1/28. PRERECORDED NO HUMAN SERVICE!!",negative
"@AmericanAir pity that a machine replied, or perhaps my story not unusual. Expected better response given article in in-flight magazine.",negative
"@united Would be nice if @staralliance partner tickets that don't provide full PQM credit are more obvious before purchase. Lost 1,200 miles",negative
@VirginAmerica great. Well deserved.,positive
@USAirways They're all reservations numbers and none are in Hungary. And my phone not working here. You make it too difficult.,negative
"@USAirways @MarciaVeronicaa she missed her uncle's funeral, and you ""hope"" they can find another flight. That's very considerate of you.",negative
@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.,negative
@AmericanAir your team rebooked my Cancelled Flightled AA flight on a different airline. New airline has no such Flight Booking Problems. Flight is this evening.,negative
"@united Ok thank you, do you provide complimentary hotel accommodations since I'll have to stay overnight?",negative
@SouthwestAir constantly providing wonderful views and service! #SouthwestLuv http://t.co/9UNxqOTzIK,positive
@united aaaand 7 hours Late Flightr won't be catching a flight til 6AM...stuck in at airport in a snowstorm with no hotel-how's that for patience?,negative
@SouthwestAir That's an awesome library.,positive
@AmericanAir Aww cool! It's nice to know they are still up above my head then. One of my faves.,positive
@AmericanAir TSA. When I tried to check in the things I've bought your people told me it was Late Flight to do it. So... I want my things back,negative
@united 3 hour delay plus a jetway that won't move. This biz traveler is never flying u again!,negative
@SouthwestAir #worstthingever 2days Late Flightr our lost bag was fedexed somewhere. Do you know where cause we don't &amp; it was delivered somewhere,negative
"@USAirways once again your service leaves a lot to be desired. Flight 5141 here early, but short staffing means we wait on Tarmac...Thanks",negative
@JetBlue oh. And thank you for responding,positive
@SouthwestAir have u seen any of the messages the past hour ?,negative
@AmericanAir my boss is :),positive
@JetBlue full to capacity. I also pid extra for these seats. Perhaps the crew could be more helpful.,negative
@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?,negative
"@USAirways Website won't let me change online even though airline issued travel advisory, now on hold for 50 minutes. Help.",negative
@SouthwestAir Thanks. I did go through these motions shortly after my flight yesterday. I wonder how quickly flight attendants are notified.,positive
@AmericanAir @cjdjpdx not a valid response in 2015 for a multinational corp whose profits are measured in billions. Stop understaffing!,negative
@united yet again you disappoint. Sitting at IAD for UA3728 for 3.5hrs and you can't seem to know why the plane hasn't left Albany. #Fail,negative
@united  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?,negative
"@USAirways and next flight delayed as well. 5238 out of Charlotte, is it just my luck or what?",negative
@USAirways suppose I need to tweet everyone how horrible your airline is for you to take notice. Let me try that route.,negative
@united hello I am flying first class and am behind 20 people on zone 1!!!!!  Pls pass on to app dept - you should board 1st class first,negative
"@USAirways - No live person to speak with all day at Dividend Miles, after they wrongfully took over 65,000 miles out of my account.",negative
@united flight attendant regains karma by giving big sweaty dad cold water. Guy was running &amp; carrying his daughter.  Last one onboard.,positive
@SouthwestAir thanks for your assistance..you guys ROCK!!💯,positive
@SouthwestAir now our pilots timed out...#getmeoutofhere,negative
@USAirways I ask for reimbursement maybe miles added to my account for my inconvenience and for the money that I had to spend,negative
@united I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?,negative
@SouthwestAir this was the 3rd Cancelled Flightlation in 2 days due to weather in Nashville. 3 trips to the airport. Each time communicated Late Flight by SW,negative
@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable,negative
@united we needed them here asap. Will they make it on today's flight?,negative
@united why do you hate your passengers?,negative
"@united Change made in just over 3 hours. For something that should have taken seconds online, I am not thrilled. Loved the agent, though.",negative
@JetBlue how come you're responding to everyone else and not me #wtf,negative
@AmericanAir I am still waiting for that call back. Stranded and no one to talk to,negative
"Lines may be extra long or security slow, but seems your employees too quick to blame customers who don't arrive 3-4 hours ahead @JetBlue",negative
@USAirways nah it's for my flight next week.. inside my Chairman 7-day window but you still haven't released the last open First seat to me,negative
@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk,positive
@united Thanks! I'll fill up the form as soon as I land. I don't like being duped so I hope you will appreciate my feedback &amp; will be better,negative
@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback,negative
@united loses my luggage and @hotelstonight loses my reservation. after a 10 hour travel day. I just want to get to @StartingBloc in the am!,negative
"@JetBlue  thanks for response! Crew has been VERY patient with us, but they are also frustrated. Wouldn't be so bad but airport is closed!",negative
@USAirways your flight attendants are all jerks 🐳,negative
@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,negative
@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons,positive
@USAirways if you are going to make me wait in the phone for a long time can you at least turn off the ads they are eating away at my soul,negative
“@JetBlue: Our fleet's on fleek. http://t.co/vOUUFRN4jS” YASSS JetBlue ! Tell them !,positive
@SouthwestAir Kudos for adding #Passbook to your app! I LOVE IT!,positive
@JetBlue I'm also a mosaic customer and fly jet blue ALOT....,negative
"@USAirways / @AmericanAir was the worst experience I've ever had flying. Rude, delays, Cancelled Flightlations, lack of updates, and wasting our time",negative
@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR,positive
@USAirways thanks so much!,positive
@united I am not digging the new mileage earning plan. I would earn about 1/3 of the miles I do now. Any changes to the award ticket prices?,negative
@AmericanAir @dfwairport  Have been trying to get canx flight resched since noon.  got 2 call backs but call disconnects as soon as I answer,negative
@SouthwestAir why do you let one person board with early bird and save seats for entire party? #notcool #flight2149,negative
"@SouthwestAir went to front restroom on plane, on sink sign that said no water, use hand sanitizer. First time I've ever seen that. GROSS!",negative
"@AmericanAir, ask your new colleagues @USAirways how they handled US 728 on 21 Feb. I expect to be made whole again. Check complaint inbox.",negative
@AmericanAir been on hold to reserve award travel for over 1.5 hrs now. Anyone home?? Or is it a crazy weather issue? http://t.co/cEHrOeurC5,negative
@SouthwestAir I got it added thank you! :),positive
@united @44Stocker my wife Sarah stocker did also called but could not connect me to customer service,negative
@AmericanAir @USAirways outbound flight: 2 hour delay b/c air traffic &amp; 2 gate changes dividend miles member gets no email or text updates,negative
@united no chance in hell. I'd rather walk. Worst airline ever.,negative
"@united, Thanks, but I didn't want to see 'we've started your flight search over' OR 'the fare &amp; rules for this itinerary has changed' again",negative
@JetBlue Well being on time is not going to happen now. Safety does come 1at. Looks like I'll have 2 look 4 another flight now #1stTimeFlyer,negative
@SouthwestAir replacing @vitaminwater with beer! Bravo!👏👏 Cheers! 🍻🍻 @Leinenkugels @DosEquis @FatTire,positive
@SouthwestAir - just talking to customer service @united makes me appreciate you even more!  They could learn so much from you!,positive
@USAirways Yes thank you. Appreciate u checking...,positive
@SouthwestAir thanks for getting me home from Denver tonight despite the snow!,positive
@JetBlue once again my flight is delayed. I hope I dont miss my  connecting. Please don't fuck me... I have a girlfriend -_-,negative
@AmericanAir You are having phone issues.  Please fix it!!!!,negative
@AmericanAir Unfortunately that is not true. A robot apologizes and hangs up. So how do I get help?,negative
"@SouthwestAir where are our bags?
We have a tv show to film!!",negative
"@USAirways that's ok, just know that I'll most likely never book with you again",negative
@SouthwestAir we are trying to fly back from Orlando to BWI. The website has crashed and no one answered the phone. #HELP,negative
